Image,Species,Bin_1,Bin_2,Bin_3,Bin_4,Bin_5,Bin_6,Bin_7,Bin_8,Bin_9,Bin_10,Bin_11,Bin_12,Bin_13,Bin_14,Bin_15,Bin_16
1187514219_6aa8002901_c.jpg,astilbe,699,469,574,3773,4404,316,124,93,110,117,287,1639,16938,25227,7999,2767
121833397_0139a4bf24_c.jpg,astilbe,13325,8379,5327,3014,5339,6295,2264,1034,1188,2070,665,131,158,1131,6333,8883
1311687757_92d263cf74_c.jpg,astilbe,20143,1341,2534,9280,3287,5753,3207,1776,1441,1906,2605,889,609,349,2717,7699
1343712578_6357baf6fa_c.jpg,astilbe,5830,6010,6475,19765,4367,950,401,176,354,715,961,323,2145,6316,6426,4322
14160356314_4f63e3e5fa_c.jpg,astilbe,6190,10137,14455,21097,7259,461,238,127,69,65,95,36,73,89,256,4889
14206032168_673f1ccf80_c.jpg,astilbe,13573,12539,4342,2243,2246,512,694,373,444,1759,4617,6967,3823,1452,6404,3548
14342572710_c96900a75b_c.jpg,astilbe,2259,1084,771,1597,14981,2594,1838,1666,4165,756,658,1417,5147,12323,11380,2900
14342606979_0dae7fa598_c.jpg,astilbe,368,757,2439,11309,23877,20816,4379,479,256,164,174,159,106,55,102,96
14342611079_9034be04fd_c.jpg,astilbe,1464,645,536,1155,8373,26076,15613,4418,906,232,157,71,65,66,981,4778
14342758267_5f39de515e_c.jpg,astilbe,595,261,185,260,536,3727,21710,19456,2855,400,237,278,538,1998,9622,2878
14342765107_ee1c6211e4_c.jpg,astilbe,4018,5199,5286,12114,23990,6812,264,13,5,6,12,14,50,472,3208,4073
14365630848_14fe8a2676_c.jpg,astilbe,585,550,1002,8318,32307,13954,4048,739,292,290,301,323,274,586,1269,698
14373194229_0aa435a43f_c.jpg,astilbe,2195,1041,461,2346,23821,2816,1064,430,410,476,636,2266,8948,10633,5740,2253
14375957730_87938d973c_c.jpg,astilbe,10101,14131,16417,15134,654,137,314,236,416,3,19,4,15,166,76,7713
143797170_05482613ac_c.jpg,astilbe,6566,7287,3447,3880,15657,11718,3497,1320,2185,830,234,331,653,1076,3241,3614
14391599934_1c14b12361_c.jpg,astilbe,511,2065,2344,7767,31247,14955,4670,739,293,256,187,126,64,21,121,170
14399713267_84b94622ed_c.jpg,astilbe,6489,7044,7450,26723,9377,335,26,5,0,1,2,0,5,69,2530,5480
14401005141_658fe992f7_c.jpg,astilbe,3120,2909,2524,3513,10690,2601,2344,3986,2234,511,487,821,2392,12274,9855,5275
14413059366_7e8f031b74_c.jpg,astilbe,271,3099,10928,18306,23544,7590,1293,223,55,28,24,21,37,26,41,50
14422452866_6c65b0ffff_c.jpg,astilbe,2033,1295,2801,7940,9084,5328,4651,5910,4465,1411,663,610,826,3448,13103,1968
14422453816_3936e59f6f_c.jpg,astilbe,11710,11827,6471,7237,5726,3008,2022,804,203,33,23,9,20,188,5104,11151
14427086722_23db06eeb2_c.jpg,astilbe,1550,12567,8025,13115,24425,3386,448,193,92,97,145,199,194,199,357,544
14429880291_a01b947f15_c.jpg,astilbe,12124,14040,5237,4885,3195,847,136,19,18,12,62,13,36,559,10673,13680
14434033769_c575e8bee7_c.jpg,astilbe,1396,2450,3050,19739,17932,1131,150,129,69,52,50,96,491,3886,11454,3461
14439714103_d28e557603_c.jpg,astilbe,6543,47767,8920,527,74,98,65,33,13,52,182,74,220,38,723,207
14442232811_ca13ba6c37_c.jpg,astilbe,11468,9644,8091,18025,6345,2111,1721,1204,427,400,373,267,146,100,525,4689
14444225312_7e62ac2288_c.jpg,astilbe,5609,5620,4417,4471,6495,7157,6455,4126,1305,274,121,75,71,108,2653,16579
14445581025_4cd8deae96_c.jpg,astilbe,1945,700,399,1236,6620,9930,5848,1370,295,255,252,718,3858,13035,15828,3247
14478886609_53b374bbd4_c.jpg,astilbe,86,42,68,364,5227,10550,18749,10454,6590,6916,4267,1918,182,30,39,54
14495221492_56a9c0d932_c.jpg,astilbe,14109,36666,1428,0,0,0,0,0,0,0,0,0,0,0,268,13065
14506113506_d38480006b_c.jpg,astilbe,2731,1808,1435,1781,4899,29194,18727,1022,414,261,269,431,560,536,758,710
14513116883_2e99ec5feb_c.jpg,astilbe,3829,9105,6238,15215,18984,5839,2816,1347,350,183,221,368,138,70,80,753
14515088939_63c21228b0_c.jpg,astilbe,5237,11363,7946,33122,5439,347,37,13,1,1,2,8,1,1,5,2013
14525825511_9540550d85_c.jpg,astilbe,8645,5063,3401,4063,7179,16404,12074,4233,1232,79,32,36,30,11,119,2935
14529200855_da4f82715e_c.jpg,astilbe,713,518,631,1247,3711,11916,24434,14017,1826,220,97,126,124,165,2787,3004
14529208575_73de85ab29_c.jpg,astilbe,2930,2777,4562,7658,20112,13173,2690,1295,1018,1305,1677,2021,1510,593,1305,910
14529210095_83be78a2cf_c.jpg,astilbe,3024,2712,2943,6581,20407,5037,183,14,8,12,17,34,302,3702,14956,5604
14534186052_f4d31bdf01_c.jpg,astilbe,12076,12971,2395,1212,1495,1568,1748,1162,796,452,192,273,566,4550,16030,8050
14547371587_97f4f8ea63_c.jpg,astilbe,1593,1747,2981,7195,8321,18710,11431,2187,1308,798,656,906,1179,1779,3011,1734
14548816391_57802aca8f_c.jpg,astilbe,521,675,1618,10904,32115,10122,4204,1316,577,627,721,873,499,186,322,256
14572337143_2ebb5d4e06_c.jpg,astilbe,863,942,2420,7792,22791,9668,7631,2916,1690,1472,626,788,1833,2059,1292,753
14608094303_197c66bf37_c.jpg,astilbe,11924,4686,12275,15824,8735,467,11,9,0,0,30,19,16,1,70,11469
14618332759_73f7691caf_c.jpg,astilbe,5815,4683,4585,14586,12830,3774,1081,262,429,3889,5540,2063,929,568,1955,2547
14631503627_32edc05410_c.jpg,astilbe,40169,2854,1447,8305,2799,197,5,6,15,5,13,6,27,12,169,9507
14666885663_4a650fd1a4_c.jpg,astilbe,522,2344,18055,43105,1182,106,4,3,0,0,12,2,27,7,76,91
14669905715_4c272a21aa_c.jpg,astilbe,19051,3810,5085,14256,4061,1399,614,403,877,537,695,486,398,975,6300,6589
14761455683_20b5861497_c.jpg,astilbe,5086,3855,13513,23279,1002,481,7817,1197,487,347,241,186,124,68,292,7561
14773591853_659332eae8_c.jpg,astilbe,2014,1419,1409,3292,11546,11190,3397,448,191,106,95,149,322,1611,23474,4873
147871972_8dca8212bc_c.jpg,astilbe,1463,9098,4653,11925,10973,3678,1542,1122,3033,16918,481,136,62,250,116,86
1479334241_e94a8ebab0_c.jpg,astilbe,6577,2188,353,11,5,37,8,6,7,2,7,5,135,2834,27679,25682
14868137554_af26230c9d_c.jpg,astilbe,2053,1369,2768,9538,10983,4743,1640,1173,4311,943,321,349,1390,5959,12870,5126
150953577_a1a1281336_c.jpg,astilbe,1963,3281,3752,23574,12647,7052,3297,4930,3408,752,305,93,69,41,181,191
152090956_75d2a3d2fe_c.jpg,astilbe,5328,9862,5546,5297,8474,10571,9964,2012,824,1168,591,335,198,214,1261,3891
15349874996_d875615d13_c.jpg,astilbe,1433,3487,7572,8478,4566,4110,8395,10302,6813,4033,2052,3429,259,62,108,437
15369727941_8047abb811_c.jpg,astilbe,4904,4327,4252,8600,19859,13206,7356,1195,514,201,98,93,31,39,139,722
156167434_8d419ffc03_c.jpg,astilbe,206,654,1644,11544,47365,3842,62,23,10,17,23,38,31,12,30,35
1620702667_fefaae42b1_c.jpg,astilbe,1755,1995,1976,11838,20719,7612,2262,791,839,1443,1327,1321,3577,5463,1601,1017
16413122622_44f60f14eb_c.jpg,astilbe,3512,3165,2652,2228,4706,6044,6177,4672,1677,1541,2340,4912,9091,6271,4047,2501
16437319264_c5887d6b09_c.jpg,astilbe,1297,601,335,572,1131,600,410,1170,936,482,548,1938,13305,31099,9692,1420
16744793647_81bdcb7e56_c.jpg,astilbe,206,21,3,13,38,158,97,20,128,327,340,665,7281,22841,30708,2690
16921957655_9dbbd80ce4_c.jpg,astilbe,10672,6991,5198,15758,5866,1994,991,830,2384,4251,1671,438,296,1317,4302,2577
171793390_08ac723af0_c.jpg,astilbe,13450,10113,4406,3654,2454,1509,1926,3538,9472,3380,1871,1532,772,517,2844,4098
17260191186_53035e3baf_c.jpg,astilbe,5668,10617,777,3662,7722,7520,4544,1810,3861,8825,1448,581,1383,3807,1699,1612
17286256775_c5285eda2b_c.jpg,astilbe,3122,3790,24076,5971,9550,1402,188,96,201,1699,69,27,29,41,3605,11670
173514478_a3f016b3e1_c.jpg,astilbe,235,171,198,421,7138,12496,10710,3760,1210,588,505,951,3622,14234,8660,637
176229137_1ee8d353e9_c.jpg,astilbe,2507,1520,1318,1372,1464,3224,5915,4974,1755,628,672,511,374,427,8053,30822
180886221_939d46ee31_c.jpg,astilbe,15608,10232,6752,7093,13998,3760,172,87,148,877,1745,1124,523,324,709,2384
18096405139_68898fd893_c.jpg,astilbe,2291,1317,1949,16780,20379,8744,4628,2041,1706,2072,1623,611,323,375,324,373
181103488_eb8fb7246b_c.jpg,astilbe,13644,4954,3370,5181,9170,3508,4344,938,335,489,795,810,927,1611,4698,10762
18376271384_84f3fd3158_c.jpg,astilbe,619,704,548,864,2993,10813,24369,15357,4628,1920,701,541,194,162,455,668
18539948989_6c0df41c9d_c.jpg,astilbe,6301,6730,6961,12455,14877,8158,1693,256,107,95,111,252,525,1116,2255,3644
186521736_67115ced2a_c.jpg,astilbe,454,5245,11626,24786,20149,3108,135,17,2,0,0,0,0,0,0,14
18708713711_b9e0138904_c.jpg,astilbe,274,2486,6921,13003,20691,9727,3262,1999,2452,4187,315,87,37,17,54,24
18756189334_7cee4deeea_c.jpg,astilbe,3651,1826,1300,1643,2975,4205,4728,1709,1164,437,191,273,265,331,15747,25091
18773423293_0ae94dc127_c.jpg,astilbe,8256,2237,1647,3112,5926,1708,184,42,15,20,42,34,131,50,327,41805
18786817059_7d3a04821b_c.jpg,astilbe,2689,2636,2908,22134,15727,594,50,26,14,29,34,102,1646,6916,6812,3219
18836736090_17cc0f2f37_c.jpg,astilbe,2479,4927,8790,26660,16546,2819,557,250,152,253,356,171,236,157,760,423
188742113_97b7c0f189_c.jpg,astilbe,10291,5675,1901,3249,5187,1885,406,74,3,1,2,11,14,33,6528,30276
18931747274_13941bf5b8_c.jpg,astilbe,5422,899,547,1012,5458,3840,4160,5417,418,392,439,194,170,119,559,36490
18990523683_8c75955d48_c.jpg,astilbe,3469,3419,3408,7380,9105,3964,2165,1198,947,5396,11774,1349,1563,2731,4265,3403
18990525433_4274961624_c.jpg,astilbe,6252,7216,5785,5483,6804,3274,3028,1619,765,243,345,952,2376,4094,9054,8246
18995971176_55fbdee347_c.jpg,astilbe,3131,1504,1374,2174,3447,4625,4222,3132,2236,1725,1327,3680,2078,2840,14814,13227
190672131_af0057cc03_c.jpg,astilbe,20494,1460,8035,1995,6863,1813,575,129,137,412,8210,2457,1806,1211,6037,3902
19180129162_b70072ff61_c.jpg,astilbe,2684,3110,6815,11330,5765,3248,5464,7234,6565,1660,644,477,428,778,5463,3871
19249253340_3ec5a85132_c.jpg,astilbe,3357,2621,11303,32800,2654,910,1040,1012,296,3109,252,20,5,7,328,5822
19278206989_cff5694de0_c.jpg,astilbe,19081,1274,7627,4233,1227,1244,612,237,280,2503,2610,1625,4653,8942,6980,2408
19424875719_6072f74e16_c.jpg,astilbe,5549,6717,8155,5858,3341,1919,1609,1413,1416,1581,1755,3359,5986,4304,7179,5395
19424876529_084208f205_c.jpg,astilbe,3630,5345,8235,7665,5635,4388,2719,1424,1403,1395,5001,3248,4604,2791,4965,3088
19585282296_3a2cd15b94_c.jpg,astilbe,591,523,745,2528,6361,4815,4066,3342,3066,2267,25485,2533,2259,2536,3590,829
19596829_059e0d9d5a_c.jpg,astilbe,7036,4752,5858,10510,7313,1769,2144,3675,9370,6329,1137,369,225,270,996,3783
19604496042_b00e264ae3_c.jpg,astilbe,7747,7069,5225,4241,6120,4621,3630,822,783,774,714,1426,2362,3657,8251,8094
19652293489_85a724d847_c.jpg,astilbe,3371,3145,3294,7872,12510,19192,1846,445,378,504,655,1357,2494,2519,3302,2652
19704381156_0f3678b5db_c.jpg,astilbe,744,604,597,2301,8703,5119,1756,613,372,178,122,158,613,14680,27095,1881
197843955_0be48a9eb2_c.jpg,astilbe,6587,1760,805,1065,12141,23538,498,14,5,1,5,4,11,33,1717,17352
19811535_82ec45117e_c.jpg,astilbe,9374,20529,9629,8841,5464,7689,603,54,46,90,344,132,370,188,588,1595
19964587255_399f6e98d1_c.jpg,astilbe,5663,1676,1172,1991,2635,2580,6410,6738,1636,1281,1819,2059,2124,2178,7223,18351
20110831951_bdbc014e18_c.jpg,astilbe,2185,1642,1936,7622,29529,4318,186,90,42,65,117,345,2162,6486,6303,2508
20164440_97ec1fd3d6_c.jpg,astilbe,9,164,2826,20877,41567,93,0,0,0,0,0,0,0,0,0,0
20164473_a9a6ca035e_c.jpg,astilbe,75,1084,4436,4453,52596,2552,89,46,23,31,25,31,26,17,26,26
2038713607_3f17946341_c.jpg,astilbe,9063,12082,14262,12904,8635,4815,1013,377,127,92,130,164,192,103,303,1274
2051082362_f1174a3068_c.jpg,astilbe,2573,1711,1396,4028,18767,18040,1432,46,25,22,23,37,75,268,10329,6764
20578740260_12c0e3a9e0_c.jpg,astilbe,6642,3146,3799,6820,2174,1872,935,867,722,637,1446,5354,16505,7907,3958,2752
20972594356_16b8c4c11c_c.jpg,astilbe,6,51,114,176,1143,2438,3796,10424,45518,1870,0,0,0,0,0,0
21090361301_95860bd711_c.jpg,astilbe,479,17485,6461,16141,17525,4944,1051,606,276,178,139,90,65,20,48,28
210983713_f4bb1020d9_c.jpg,astilbe,7178,11168,11062,26863,4032,404,90,50,25,53,84,44,25,15,200,4243
21189654503_a082444bee_c.jpg,astilbe,4491,6120,17814,12565,1753,790,635,381,189,72,82,508,790,537,2184,16625
213351172_f845728d7d_c.jpg,astilbe,10622,1030,293,420,29,19,42,31,13,11,12,19,77,902,21413,30603
220632204_7c0d9ac9cd_c.jpg,astilbe,8304,10388,7571,6476,6681,2109,663,266,213,302,631,1383,3152,5718,6361,5318
220641238_6b935d18ea_c.jpg,astilbe,4378,8229,7512,9830,17340,6672,1258,472,387,459,702,686,1424,2301,2073,1813
220643085_a20db49012_c.jpg,astilbe,2711,7071,7440,7471,26582,7542,291,180,117,135,225,464,1041,1294,1526,1446
220652191_95fea3f83b_c.jpg,astilbe,8257,6464,6442,11859,4104,366,373,290,727,1615,1709,887,556,1289,5987,14611
220674625_1f36cddf4f_c.jpg,astilbe,3922,5557,9574,9721,15383,6994,2005,1408,1509,1218,1201,1723,1482,1234,1180,1425
22085360_5eb0196960_c.jpg,astilbe,3436,1866,1649,3592,15907,10958,1774,337,151,48,18,24,25,39,1268,24444
22085636_8161658335_c.jpg,astilbe,3490,1736,1387,2669,13035,13936,3425,513,93,24,11,14,12,17,864,24310
22085861_543dc248fa_c.jpg,astilbe,3395,1539,1287,2254,8775,7208,413,69,13,9,14,6,10,28,8017,32499
221278257_eb5e05030b_c.jpg,astilbe,540,497,825,4201,5402,528,245,194,200,328,1575,12398,13958,11748,10962,1935
221367370_ca87e3958e_c.jpg,astilbe,2164,3340,1579,1496,1314,176,115,93,141,381,2694,15871,15430,10141,8058,2543
221796702_17f661dd09_c.jpg,astilbe,3910,5652,10327,19423,6944,126,24,18,7,13,32,53,891,10067,5620,2429
221797375_da1d2bd5b8_c.jpg,astilbe,4808,6593,8747,23897,4474,428,134,70,57,71,129,118,360,4435,8500,2715
2232694345_70f3b6c0de_c.jpg,astilbe,3405,2699,4956,6237,2901,1484,1070,422,353,196,187,236,311,383,7395,33301
22342397332_b33a9619c5_c.jpg,astilbe,294,35,53,27,5,7,16,101,387,817,789,1706,9093,20630,31114,462
2236225240_1875d958cc_c.jpg,astilbe,973,11607,14571,33281,3291,522,159,52,30,113,331,248,113,27,153,65
23017158310_a05f5075ff_c.jpg,astilbe,6155,6829,6580,20345,8868,32,8,3,2,1,6,12,276,2041,8297,6081
2335374173_c9af130ef2_c.jpg,astilbe,48349,142,116,52,88,1785,289,156,89,82,279,25,124,39,321,13600
2357453625_d19d74a238_c.jpg,astilbe,1328,2166,4582,12148,25007,7879,2991,3372,1213,152,75,93,268,1366,1846,1050
2358268346_85339b5702_c.jpg,astilbe,1391,844,859,3352,19446,14416,4405,2067,2289,3480,4507,3201,1395,786,1109,1989
24300989935_6c8fb87199_c.jpg,astilbe,29008,14174,15334,1304,365,190,239,104,45,79,80,63,123,88,1123,3217
2486988515_a983cd081b_c.jpg,astilbe,1935,621,884,525,12967,13990,6610,1053,403,764,3029,826,630,10180,10455,664
24885153_2e7f8fc002_c.jpg,astilbe,1120,1090,2231,6362,8176,9035,4986,1220,944,5146,1268,817,1451,7277,13101,1312
24885189_6bb9bac038_c.jpg,astilbe,644,2281,4785,3331,9403,14256,7589,4788,5158,10497,1480,576,267,165,196,120
24885587_7707cedf58_c.jpg,astilbe,527,280,697,7043,27907,11817,3667,1529,2114,8385,806,309,104,63,106,182
2495084070_e7903a7a79_c.jpg,astilbe,10145,8397,4982,8568,7079,1102,2330,760,638,3164,5073,4277,2135,1333,1893,3660
2495084750_544cd7055c_c.jpg,astilbe,14377,20790,8418,7797,7379,445,242,89,38,199,415,615,611,361,1786,1974
25039434_8efcf5f0e0_c.jpg,astilbe,5089,2598,2189,5433,20377,14711,4612,467,126,122,167,88,92,81,1884,7500
2535990793_1d6f3957cf_c.jpg,astilbe,4576,16147,16707,13977,4647,4266,547,279,351,372,444,543,476,451,560,1193
2544465773_1720f832f0_c.jpg,astilbe,6247,27886,17635,11030,2404,94,22,6,11,4,3,8,5,15,10,156
2545292324_fce98de08b_c.jpg,astilbe,7294,33226,17311,6324,1210,42,10,0,8,5,6,7,4,23,5,61
2555157112_90f87efa7f_c.jpg,astilbe,4919,14382,10367,16458,1196,63,11,1,8,6,0,9,592,5642,8011,3871
2561354959_604b4fa5aa_c.jpg,astilbe,80,71,790,30635,15396,5408,4117,2406,2380,3259,458,123,120,121,82,90
25682620_a42997a353_c.jpg,astilbe,3757,14375,10662,27030,4725,156,62,4,4,73,65,67,143,895,1908,1610
2571507366_ec237f1bb0_c.jpg,astilbe,243,13795,14117,8638,14674,11942,1549,262,102,84,84,10,9,0,13,14
2573706334_b0a6c5583c_c.jpg,astilbe,2543,2294,4177,3014,925,342,948,665,1944,4571,5917,7866,13357,7103,5629,4241
2573868373_83be150bf7_c.jpg,astilbe,8675,23618,24872,7937,0,0,0,0,0,0,0,0,0,0,0,434
2574073605_2d2a4ddb2d_c.jpg,astilbe,19271,3832,14665,21119,1120,1704,73,44,17,54,1727,212,154,68,210,1266
2585663845_c17c889c5b_c.jpg,astilbe,0,25,11564,28572,24718,226,71,149,174,34,3,0,0,0,0,0
2604706964_bf103bfdba_c.jpg,astilbe,6334,6110,12345,10888,1797,275,17,3,7,17,7,11,5,4,59,27657
2604972623_36196c056c_c.jpg,astilbe,1502,1697,2684,5958,15244,10134,4044,1015,398,98,98,172,4208,14344,2525,1415
2611632710_f2d631549a_c.jpg,astilbe,13267,16864,8786,9209,4656,804,784,1109,2940,4993,1145,411,116,36,129,287
2611782654_758780596b_c.jpg,astilbe,20921,5297,4769,21044,8744,1653,121,30,29,156,1089,275,352,4,89,963
2618035128_73b02e8f72_c.jpg,astilbe,4288,14888,12918,21503,8613,1852,312,193,373,168,34,23,37,22,48,264
2621550763_51327242c3_c.jpg,astilbe,3891,3625,3266,11683,23889,3891,600,192,139,121,88,111,69,192,7343,6436
2626125728_5684b334d5_c.jpg,astilbe,99,70,99,259,6757,21104,14557,5860,7474,4226,2435,757,306,575,875,83
2626134836_a09a3a0f19_c.jpg,astilbe,429,145,2152,8648,8192,9457,8679,10296,14788,2121,471,74,24,23,26,11
26292510322_42659124e6_c.jpg,astilbe,3984,2248,1827,10103,20543,8525,1385,542,285,294,308,358,609,1578,8744,4203
2629356513_90e0e87839_c.jpg,astilbe,8,443,30647,21925,11132,1291,43,22,9,1,3,2,3,2,2,3
26294417885_9f48ab88b9_c.jpg,astilbe,14051,50174,132,31,5,4,2,9,8,63,99,80,79,71,213,515
2632970630_1e70b8bd57_c.jpg,astilbe,24898,4811,2471,3488,10763,4909,598,547,1024,369,136,74,42,63,250,11093
2634713815_cd2769ac14_c.jpg,astilbe,3724,3745,3776,6698,33608,6549,123,35,19,14,19,26,81,753,2909,3457
2636562053_323bb0fbe2_c.jpg,astilbe,9626,10264,19206,13027,1865,57,11,0,0,0,0,0,0,0,40,11440
2636665681_0cbc7f724e_c.jpg,astilbe,5583,10494,19252,19574,7057,702,43,0,0,0,1,0,1,1,248,2580
2637453089_b6cfe9e54f_c.jpg,astilbe,6209,4148,11104,7247,412,79,12,1,2,2,2,15,292,2306,7026,26679
2639659366_5f97692552_c.jpg,astilbe,2295,2281,4065,10520,11139,4846,3106,1312,1143,887,383,229,226,204,5494,17406
2641773689_4e809d3a67_c.jpg,astilbe,3659,6311,15618,28684,115,33,0,0,0,0,2,0,0,1,521,10592
2642812497_75d4fb495d_c.jpg,astilbe,7301,9392,12021,16334,8631,260,13,16,1,0,4,6,6,9,962,10580
2643641566_44ab0d6e69_c.jpg,astilbe,8846,9076,10216,14943,9139,210,29,14,1,4,3,1,27,29,734,12264
2652780095_4673bc50d9_c.jpg,astilbe,3726,4148,3128,5785,37983,4497,229,18,12,3,10,19,128,496,1805,3549
2653167851_db89709b5c_c.jpg,astilbe,10397,4931,10888,13228,11006,668,95,25,12,8,13,0,3,13,32,14217
2653603116_d4f8c01d2d_c.jpg,astilbe,1160,2144,3134,6852,24414,16660,7591,1239,470,326,161,167,194,219,304,501
2653603308_1cd88fbc5a_c.jpg,astilbe,1202,3406,6549,13122,22054,18144,250,10,7,6,20,16,21,64,180,485
2654322076_2a3672510c_c.jpg,astilbe,3095,8046,9399,8478,5855,1535,1006,869,1148,2993,7055,8571,3313,1480,1357,1336
2657414799_e677965acb_c.jpg,astilbe,7946,1120,1314,2912,8653,15349,2727,903,545,620,1230,705,1514,4564,12223,3211
2658089953_6b3fb4d603_c.jpg,astilbe,42084,11914,558,33,16,26,3,0,1,1,28,94,551,818,2654,6755
2660846924_0e525c2280_c.jpg,astilbe,13502,2004,1953,21745,14706,1271,201,37,48,12,3,1,7,2,2,10042
2660849768_860873991e_c.jpg,astilbe,18538,3361,4181,15326,6308,938,127,36,24,16,2,1,4,3,12,16659
2674376840_bef24f6770_c.jpg,astilbe,2130,5672,13199,6556,9390,5275,4993,1103,176,135,140,249,1649,8880,5431,558
26752574363_67ec9c9b18_c.jpg,astilbe,20607,10404,4032,16214,3345,310,312,658,455,61,30,22,29,137,1052,7868
2685032517_5c549425dd_c.jpg,astilbe,2071,2227,12281,16021,8133,9033,5995,1402,1787,2897,743,496,405,243,957,845
26922602863_d7a5487445_c.jpg,astilbe,2112,2479,4348,12794,16199,1816,329,165,151,291,322,1634,11763,5184,3673,2276
2694005956_ee9c35f930_c.jpg,astilbe,25785,9722,7046,7500,38,0,0,0,0,0,0,0,0,0,4,15441
2694471212_c996ef6beb_c.jpg,astilbe,946,797,843,2173,22234,12184,5544,611,213,208,231,715,3324,7724,6209,1580
2698315113_16708d6a5b_c.jpg,astilbe,25921,2168,231,160,77,46,91,113,55,75,108,183,1722,1794,6038,26754
2702350884_5550de9287_c.jpg,astilbe,3584,3196,3691,10588,20810,11083,2239,247,219,84,204,299,425,3614,2822,2431
2702361902_9f0e53d501_c.jpg,astilbe,3604,3150,3540,10251,20430,11012,2527,273,240,113,145,323,520,3753,3033,2622
2705952453_29fe56d443_c.jpg,astilbe,10244,2828,5514,28447,28,7,2,1,6,3,3,0,9,72,3012,15360
2705953689_c104782bf3_c.jpg,astilbe,13628,3844,2955,22285,33,9,4,0,0,1,12,42,17,130,4404,18172
2706238810_ca29c4baea_c.jpg,astilbe,4560,11457,9904,22387,9434,2648,1372,1901,612,305,327,197,131,18,204,79
2706760440_da50e42ac8_c.jpg,astilbe,19645,3531,2800,13420,471,22,3,2,0,2,2,2,3,7,1606,24020
2706772944_438591fb72_c.jpg,astilbe,11416,4147,7189,22203,16,2,3,0,2,5,13,11,23,148,4706,15652
2706781078_f7669c3684_c.jpg,astilbe,9885,3449,6406,31484,24,13,1,4,2,1,5,3,3,54,1977,12225
2709461048_e809258fe1_c.jpg,astilbe,2112,1563,3970,4595,2837,1000,1154,440,113,68,86,307,4247,12324,20117,10603
27161543833_06602e6d62_c.jpg,astilbe,3070,1974,3089,7201,14260,11976,6409,1178,318,226,496,402,183,335,3656,10763
27190279274_9cc993a553_c.jpg,astilbe,982,1848,2781,19147,28499,4600,632,392,282,958,4055,379,125,76,274,506
2721010466_66bf340d63_c.jpg,astilbe,41942,386,1313,212,127,4198,551,229,471,932,3138,784,955,70,634,9594
27286065120_239d2f13b6_c.jpg,astilbe,1334,1718,4565,7541,24058,10866,6546,3687,2406,1505,328,158,191,91,342,200
27304951221_7eda98cc9f_c.jpg,astilbe,953,3960,2793,7851,16203,16521,11667,3568,868,636,206,147,20,7,42,94
2734395862_ab38c511fd_c.jpg,astilbe,24211,18282,6594,8246,2656,2153,266,76,78,179,901,305,203,47,379,960
27498500610_fa5a1a515d_c.jpg,astilbe,2052,3607,9645,7568,7464,2457,995,752,941,1453,597,1488,7939,12785,4207,1586
27610243492_02f4a41f2b_c.jpg,astilbe,3203,22468,26733,12596,35,0,0,0,0,0,0,0,0,0,0,501
27701562400_e3e76c062f_c.jpg,astilbe,65536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2770347747_e8d9c6f271_c.jpg,astilbe,20,244,658,2310,6665,16719,24424,7337,2724,2144,1517,712,46,9,5,2
